"","Index1","Index2","Type"
"1",1,4,"uint"
"2",2,1,"uint8"
"3",3,2,"uint16"
"4",4,4,"uint32"
"5",5,8,"uint64"
"6",6,1,"uchar"
"7",7,1,"uchar"
"8",8,1,"unsigned char"
"9",9,2,"ushort"
"10",10,4,"int"
"11",11,1,"int8"
"12",12,2,"int16"
"13",13,4,"int32"
"14",14,8,"int64"
"15",15,1,"integer*1"
"16",16,2,"integer*2"
"17",17,4,"integer*3"
"18",18,8,"integer*4"
"19",19,1,"schar"
"20",20,1,"signed char"
"21",21,2,"short"
"22",22,4,"single"
"23",23,8,"double"
"24",24,4,"float"
"25",25,4,"float32"
"26",26,8,"float64"
"27",27,4,"real*4"
"28",28,8,"real*8"
"29",29,1,"char*1"
"30",30,1,"char"
