Id_model;Name;Table 1;Table conecctions;Objet in Matlab;MYSQL TABLE
1;'Prospect 4';2x3 cell;[];'obj_prospect4';'prospect4'
2;'Prospect 5';2x3 cell;[];'obj_prospect5';'prospect5'
3;'Prospect D';2x3 cell;[];'obj_prospectD';'prospectD'
4;'FluorMODleaf';2x3 cell;[];'obj_fmlaef';'fmleaf'
5;'DLM model';2x3 cell;[];'obj_dlm';'dlm'
6;'Liberty';2x3 cell;[];'obj_liberty';'liberty'
7;'FluspectB';2x3 cell;[];'obj_fluspect';'fluspect'
8;'4SAIL';2x3 cell;4x3 cell;'obj_4sail';'sail4'
9;'FLIGHT';2x3 cell;4x3 cell;'obj_flight';'flight'
10;'fsail';2x3 cell;1x3 cell;'obj_fsail';'fsail'
11;'inform';2x3 cell;4x3 cell;'obj_inform';'inform'
12;'slc';2x3 cell;[];'obj_slc';'slc'
13;'scope';2x3 cell;[];'obj_scope';'scope'
